cell_line	ccle_code	protein_10plex_id	protein_tmt_label	fraction_index	file_name	file_size_bytes	ftp_url
KYM-1	KYM1_SOFT_TISSUE	38	128c	01	g00601_Prot_38_01.raw	468513480	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00601_Prot_38_01.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	02	g00602_Prot_38_02.raw	378325796	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00602_Prot_38_02.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	03	g00603_Prot_38_03.raw	486394040	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00603_Prot_38_03.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	04	g00604_Prot_38_04.raw	469443522	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00604_Prot_38_04.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	05	g00605_Prot_38_05.raw	455724250	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00605_Prot_38_05.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	06	g00606_Prot_38_06.raw	449911686	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00606_Prot_38_06.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	07	g00607_Prot_38_07.raw	498093282	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00607_Prot_38_07.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	08	g00608_Prot_38_08.raw	473729390	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00608_Prot_38_08.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	09	g00609_Prot_38_09.raw	488176826	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00609_Prot_38_09.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	10	g00610_Prot_38_10.raw	465840718	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00610_Prot_38_10.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	11	g00611_Prot_38_11.raw	482177212	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00611_Prot_38_11.raw
KYM-1	KYM1_SOFT_TISSUE	38	128c	12	g00612_Prot_38_12.raw	443379822	ftp://massive-ftp.ucsd.edu/v03/MSV000085836/raw/raw/g00612_Prot_38_12.raw
